Key,System name,School name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6010177,APPLING COUNTY,APPLING CO EL,187,843.03,3.7,54.0,42.2,96.3,187,836.00,4.3,65.8,29.9,95.7,187,838.28,10.7,55.1,34.2,89.3,187,821.34,19.3,66.8,13.9,80.7,187,809.04,31.0,64.7,4.3,69.0
6011050,APPLING COUNTY,ALTAMAHA ELEM,55,845.49,0.0,50.9,49.1,100.0,55,842.47,1.8,56.4,41.8,98.2,55,850.64,3.6,43.6,52.7,96.4,55,832.35,3.6,76.4,20.0,96.4,55,825.98,9.1,72.7,18.2,90.9
6015050,APPLING COUNTY,FOURTH DISTRI,20,839.00,0.0,70.0,30.0,100.0,20,836.05,0.0,70.0,30.0,100.0,20,846.80,0.0,45.0,55.0,100.0,20,839.40,5.0,55.0,40.0,95.0,21,821.38,4.8,95.2,0.0,95.2
6020187,ATKINSON COUNTY,WILLACOOCHEE,39,826.74,7.7,74.4,17.9,92.3,39,823.95,12.8,71.8,15.4,87.2,39,834.21,17.9,43.6,38.5,82.1,39,823.79,17.9,66.7,15.4,82.1,39,820.36,23.1,66.7,10.3,76.9
6020190,ATKINSON COUNTY,PEARSON ELEME,88,837.53,8.0,58.0,34.1,92.0,88,835.88,5.7,62.5,31.8,94.3,88,833.72,15.9,48.9,35.2,84.1,88,834.19,10.2,63.6,26.1,89.8,88,832.01,13.6,60.2,26.1,86.4
6033050,BACON COUNTY,BACON CO ELEM,154,835.30,4.5,66.2,29.2,95.5,154,836.06,5.8,62.3,31.8,94.2,154,833.46,19.5,45.5,35.1,80.5,154,838.82,7.8,54.5,37.7,92.2,154,828.56,9.7,67.5,22.7,90.3
6040105,BAKER COUNTY,BAKER COUNTY,31,817.42,25.8,64.5,9.7,74.2,31,807.48,41.9,48.4,9.7,58.1,31,804.97,48.4,35.5,16.1,51.6,31,799.87,45.2,54.8,0.0,54.8,31,795.68,54.8,45.2,0.0,45.2
6050104,BALDWIN COUNTY,EAGLE RIDGE E,134,818.26,21.6,62.7,15.7,78.4,134,819.78,26.9,49.3,23.9,73.1,134,812.43,36.6,47.0,16.4,63.4,133,816.66,30.8,50.4,18.8,69.2,133,812.31,32.3,58.6,9.0,67.7
6050194,BALDWIN COUNTY,MIDWAY ELEMEN,105,821.06,15.2,70.5,14.3,84.8,105,822.90,16.2,65.7,18.1,83.8,104,808.34,36.5,50.0,13.5,63.5,105,811.87,29.5,63.8,6.7,70.5,105,808.36,26.7,71.4,1.9,73.3
6050195,BALDWIN COUNTY,BLANDY HILLS,140,827.31,15.7,56.4,27.9,84.3,140,832.17,12.1,55.7,32.1,87.9,140,832.93,19.3,47.9,32.9,80.7,140,818.24,27.9,55.0,17.1,72.1,140,811.71,25.0,68.6,6.4,75.0
