Key,System name,School name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA,Congressional District
6010177,APPLING COUNTY,APPLING CO EL,141,837.72,5.7,60.3,34.0,94.3,141,837.28,3.5,67.4,29.1,96.5,144,835.13,14.6,50.0,35.4,85.4,149,821.95,20.1,57.7,22.1,79.9,149,813.67,29.5,57.7,12.8,70.5,4,1st
6011050,APPLING COUNTY,ALTAMAHA ELEM,67,836.51,7.5,58.2,34.3,92.5,67,832.36,7.5,61.2,31.3,92.5,67,838.94,14.9,40.3,44.8,85.1,67,823.36,16.4,61.2,22.4,83.6,67,814.75,25.4,71.6,3.0,74.6,4,1st
6015050,APPLING COUNTY,FOURTH DISTRI,17,845.53,5.9,47.1,47.1,94.1,17,830.00,17.6,47.1,35.3,82.4,17,835.06,17.6,41.2,41.2,82.4,17,821.41,29.4,52.9,17.6,70.6,17,808.65,29.4,64.7,5.9,70.6,4,1st
6020187,ATKINSON COUNTY,WILLACOOCHEE,37,834.14,5.4,64.9,29.7,94.6,37,835.84,2.7,64.9,32.4,97.3,39,838.38,20.5,33.3,46.2,79.5,39,828.13,20.5,53.8,25.6,79.5,39,830.85,12.8,56.4,30.8,87.2,13,1st
6020190,ATKINSON COUNTY,PEARSON ELEME,103,836.83,9.7,55.3,35.0,90.3,103,836.31,9.7,58.3,32.0,90.3,104,839.82,18.3,39.4,42.3,81.7,105,831.28,12.4,58.1,29.5,87.6,105,826.66,10.5,73.3,16.2,89.5,13,1st
6033050,BACON COUNTY,BACON CO ELEM,136,844.99,2.2,50.7,47.1,97.8,138,839.73,2.9,57.2,39.9,97.1,139,835.86,11.5,57.6,30.9,88.5,138,845.69,8.7,43.5,47.8,91.3,138,838.79,6.5,60.1,33.3,93.5,13,1st
6040105,BAKER COUNTY,BAKER COUNTY,23,812.48,34.8,60.9,4.3,65.2,23,804.78,43.5,52.2,4.3,56.5,23,802.65,47.8,39.1,13.0,52.2,23,797.61,52.2,39.1,8.7,47.8,23,792.43,60.9,39.1,0.0,39.1,15,2nd
6050104,BALDWIN COUNTY,EAGLE RIDGE E,119,824.29,20.2,58.0,21.8,79.8,119,822.94,21.0,57.1,21.8,79.0,119,820.77,37.8,35.3,26.9,62.2,119,806.63,44.5,39.5,16.0,55.5,119,802.50,43.7,53.8,2.5,56.3,12,12th
6050194,BALDWIN COUNTY,MIDWAY ELEMEN,84,827.07,17.9,57.1,25.0,82.1,84,824.52,14.3,63.1,22.6,85.7,84,815.19,39.3,41.7,19.0,60.7,85,814.28,27.1,56.5,16.5,72.9,85,808.87,37.6,56.5,5.9,62.4,12,12th
6050195,BALDWIN COUNTY,BLANDY HILLS,118,831.83,12.7,59.3,28.0,87.3,119,830.56,7.6,66.4,26.1,92.4,118,837.57,11.9,50.8,37.3,88.1,121,818.34,25.6,58.7,15.7,74.4,121,823.15,15.7,68.6,15.7,84.3,12,12th
6050199,BALDWIN COUNTY,CREEKSIDE ELE,107,837.33,6.5,59.8,33.6,93.5,106,831.18,13.2,57.5,29.2,86.8,105,837.39,20.0,41.0,39.0,80.0,109,828.50,22.9,47.7,29.4,77.1,109,824.72,17.4,60.6,22.0,82.6,12,12th
6060107,BANKS COUNTY,BANKS CO ELEM,222,843.38,4.5,55.9,39.6,95.5,218,841.17,4.1,57.8,38.1,95.9,220,851.16,10.0,38.2,51.8,90.0,226,840.10,8.8,47.8,43.4,91.2,226,827.22,14.2,66.4,19.5,85.8,14,10th
6070105,BARROW COUNTY,COUNTY LINE E,122,838.07,5.7,56.6,37.7,94.3,123,831.92,10.6,61.8,27.6,89.4,122,840.97,13.9,46.7,39.3,86.1,123,834.09,11.4,60.2,28.5,88.6,124,822.07,21.0,66.1,12.9,79.0,10,7th
6070189,BARROW COUNTY,KENNEDY ELEME,106,838.71,8.5,55.7,35.8,91.5,105,839.70,5.7,59.0,35.2,94.3,105,841.30,14.3,44.8,41.0,85.7,107,830.61,19.6,44.9,35.5,80.4,107,823.18,20.6,60.7,18.7,79.4,10,7th
6070193,BARROW COUNTY,BRAMLETT ELEM,113,843.90,4.4,52.2,43.4,95.6,115,832.36,10.4,60.9,28.7,89.6,116,839.72,11.2,50.0,38.8,88.8,116,832.92,14.7,49.1,36.2,85.3,116,828.41,16.4,59.5,24.1,83.6,10,7th
6070205,BARROW COUNTY,BETHLEHEM ELE,138,843.46,8.0,47.8,44.2,92.0,137,841.77,4.4,55.5,40.1,95.6,139,858.52,6.5,36.0,57.6,93.5,143,835.21,11.2,55.9,32.9,88.8,142,830.77,10.6,63.4,26.1,89.4,10,7th
6070298,BARROW COUNTY,YARGO ELEMENT,130,840.82,6.2,52.3,41.5,93.8,130,835.30,10.8,57.7,31.5,89.2,129,826.29,20.2,52.7,27.1,79.8,131,828.05,16.8,51.9,31.3,83.2,131,822.51,19.8,65.6,14.5,80.2,10,7th
