Key,System Name,School Name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA,Congressional District
6010177,APPLING COUNTY,APPLING CO EL,188,831.35,12.8,60.6,26.6,87.2,188,833.23,7.4,67.0,25.5,92.6,187,827.83,15.5,59.9,24.6,84.5,188,825.39,22.3,49.5,28.2,77.7,188,815.54,23.4,66.0,10.6,76.6,4,1st
6011050,APPLING COUNTY,ALTAMAHA ELEM,58,841.34,3.4,60.3,36.2,96.6,58,848.76,5.2,46.6,48.3,94.8,58,851.36,6.9,31.0,62.1,93.1,58,846.14,10.3,39.7,50.0,89.7,58,824.14,12.1,72.4,15.5,87.9,4,1st
6015050,APPLING COUNTY,FOURTH DISTRI,24,830.96,4.2,66.7,29.2,95.8,24,828.25,8.3,75.0,16.7,91.7,24,821.33,12.5,58.3,29.2,87.5,24,829.21,20.8,37.5,41.7,79.2,24,818.79,16.7,79.2,4.2,83.3,4,1st
6020187,ATKINSON COUNTY,WILLACOOCHEE,41,831.34,9.8,63.4,26.8,90.2,41,835.15,9.8,63.4,26.8,90.2,41,826.15,19.5,43.9,36.6,80.5,41,823.63,17.1,63.4,19.5,82.9,41,814.12,19.5,73.2,7.3,80.5,13,1st
6020190,ATKINSON COUNTY,PEARSON ELEME,90,835.38,5.6,60.0,34.4,94.4,90,833.04,10.0,66.7,23.3,90.0,91,837.23,6.6,54.9,38.5,93.4,91,829.04,22.0,50.5,27.5,78.0,90,825.29,12.2,67.8,20.0,87.8,13,1st
6033050,BACON COUNTY,BACON CO ELEM,153,834.87,7.2,58.2,34.6,92.8,151,836.73,4.0,62.9,33.1,96.0,153,834.14,13.7,52.3,34.0,86.3,154,847.05,7.8,42.2,50.0,92.2,154,836.68,7.1,59.1,33.8,92.9,13,1st
6040105,BAKER COUNTY,BAKER COUNTY,35,808.37,45.7,37.1,17.1,54.3,35,819.31,28.6,57.1,14.3,71.4,35,803.94,42.9,40.0,17.1,57.1,35,793.03,60.0,40.0,0.0,40.0,35,795.71,54.3,40.0,5.7,45.7,15,2nd
6050104,BALDWIN COUNTY,EAGLE RIDGE E,142,820.46,24.6,58.5,16.9,75.4,141,819.72,24.1,59.6,16.3,75.9,140,814.06,35.0,43.6,21.4,65.0,143,816.57,37.8,41.3,21.0,62.2,143,801.10,43.4,54.5,2.1,56.6,12,12th
6050194,BALDWIN COUNTY,MIDWAY ELEMEN,100,826.56,13.0,65.0,22.0,87.0,99,827.91,13.1,69.7,17.2,86.9,95,808.97,34.7,53.7,11.6,65.3,100,808.35,35.0,56.0,9.0,65.0,100,801.17,39.0,59.0,2.0,61.0,12,12th
6050195,BALDWIN COUNTY,BLANDY HILLS,135,825.46,15.6,63.0,21.5,84.4,135,829.48,11.9,65.2,23.0,88.1,134,822.66,23.1,55.2,21.6,76.9,138,814.93,35.5,47.8,16.7,64.5,138,805.52,42.8,49.3,8.0,57.2,12,12th
6050199,BALDWIN COUNTY,CREEKSIDE ELE,136,830.85,12.5,61.0,26.5,87.5,135,832.04,10.4,65.2,24.4,89.6,134,824.09,26.1,48.5,25.4,73.9,140,823.86,27.9,45.0,27.1,72.1,140,819.58,25.0,56.4,18.6,75.0,12,12th
6060107,BANKS COUNTY,BANKS CO ELEM,220,840.06,8.2,50.9,40.9,91.8,215,840.37,7.0,53.5,39.5,93.0,215,832.76,12.6,51.2,36.3,87.4,221,839.32,13.1,49.8,37.1,86.9,221,826.87,12.7,68.3,19.0,87.3,14,10th
6070105,BARROW COUNTY,COUNTY LINE E,153,831.30,12.4,59.5,28.1,87.6,152,830.07,11.8,65.1,23.0,88.2,154,824.83,21.4,54.5,24.0,78.6,157,828.94,21.7,52.9,25.5,78.3,156,815.24,25.0,65.4,9.6,75.0,10,7th
6070189,BARROW COUNTY,KENNEDY ELEME,99,838.51,10.1,46.5,43.4,89.9,99,837.75,7.1,53.5,39.4,92.9,98,832.84,17.3,43.9,38.8,82.7,100,830.70,21.0,46.0,33.0,79.0,99,819.23,21.2,68.7,10.1,78.8,10,7th
6070193,BARROW COUNTY,BRAMLETT ELEM,121,837.44,6.6,60.3,33.1,93.4,120,834.04,6.7,69.2,24.2,93.3,121,833.26,7.4,62.0,30.6,92.6,122,845.23,8.2,45.1,46.7,91.8,121,815.89,21.5,71.1,7.4,78.5,10,7th
6070205,BARROW COUNTY,BETHLEHEM ELE,136,835.26,8.8,51.5,39.7,91.2,136,838.54,8.8,55.1,36.0,91.2,138,842.10,13.0,38.4,48.6,87.0,139,839.55,17.3,41.7,41.0,82.7,138,826.19,14.5,60.9,24.6,85.5,10,7th
6070298,BARROW COUNTY,YARGO ELEMENT,139,835.29,7.9,56.1,36.0,92.1,138,837.01,9.4,53.6,37.0,90.6,138,834.22,13.0,52.2,34.8,87.0,138,849.62,8.0,42.8,49.3,92.0,137,835.18,7.3,62.8,29.9,92.7,10,7th
6071050,BARROW COUNTY,AUBURN ELEMEN,86,832.28,10.5,54.7,34.9,89.5,84,833.94,7.1,61.9,31.0,92.9,84,832.55,13.1,58.3,28.6,86.9,87,829.91,24.1,41.4,34.5,75.9,86,812.12,27.9,60.5,11.6,72.1,10,7th
6074050,BARROW COUNTY,HOLSENBECK EL,131,829.18,15.3,58.8,26.0,84.7,130,828.05,13.8,61.5,24.6,86.2,131,827.02,19.1,48.1,32.8,80.9,134,826.05,26.9,42.5,30.6,73.1,134,813.43,31.3,55.2,13.4,68.7,10,7th
6075050,BARROW COUNTY,STATHAM ELEME,129,828.83,15.5,58.1,26.4,84.5,129,833.06,12.4,62.0,25.6,87.6,126,835.10,15.1,48.4,36.5,84.9,128,833.73,23.4,39.1,37.5,76.6,127,818.69,27.6,58.3,14.2,72.4,10,7th
6080104,BARTOW COUNTY,CLEAR CREEK E,79,834.10,12.7,54.4,32.9,87.3,78,833.35,12.8,55.1,32.1,87.2,78,832.71,21.8,43.6,34.6,78.2,78,833.62,24.4,39.7,35.9,75.6,78,818.31,24.4,56.4,19.2,75.6,11,11th
6080106,BARTOW COUNTY,PINE LOG ELEM,71,844.45,4.2,47.9,47.9,95.8,70,838.93,7.1,61.4,31.4,92.9,67,862.46,1.5,35.8,62.7,98.5,71,831.03,14.1,56.3,29.6,85.9,71,821.03,25.4,59.2,15.5,74.6,11,11th
6080107,BARTOW COUNTY,EUHARLEE ELEM,121,833.14,14.9,54.5,30.6,85.1,121,829.53,17.4,56.2,26.4,82.6,120,826.28,21.7,47.5,30.8,78.3,121,823.41,27.3,49.6,23.1,72.7,121,813.07,29.8,60.3,9.9,70.2,11,11th
6080175,BARTOW COUNTY,WHITE ELEMENT,91,843.47,3.3,47.3,49.5,96.7,90,839.30,3.3,61.1,35.6,96.7,89,839.63,10.1,46.1,43.8,89.9,92,828.03,19.6,57.6,22.8,80.4,92,818.01,13.0,78.3,8.7,87.0,11,11th
6080177,BARTOW COUNTY,ADAIRSVILLE E,88,839.48,9.1,44.3,46.6,90.9,88,830.13,13.6,60.2,26.1,86.4,88,832.56,14.8,52.3,33.0,85.2,89,826.39,23.6,46.1,30.3,76.4,89,814.62,25.8,67.4,6.7,74.2,11,11th
6080186,BARTOW COUNTY,MISSION ROAD,101,837.06,14.9,39.6,45.5,85.1,101,829.21,17.8,59.4,22.8,82.2,101,831.16,18.8,46.5,34.7,81.2,101,819.65,28.7,51.5,19.8,71.3,101,815.76,26.7,63.4,9.9,73.3,11,11th
6080196,BARTOW COUNTY,ALLATOONA ELE,83,840.27,12.0,44.6,43.4,88.0,83,843.83,10.8,43.4,45.8,89.2,83,844.66,9.6,38.6,51.8,90.4,84,826.79,21.4,54.8,23.8,78.6,84,819.62,19.0,65.5,15.5,81.0,11,11th
6080296,BARTOW COUNTY,KINGSTON ELEM,80,836.66,10.0,56.3,33.8,90.0,80,831.35,16.3,53.8,30.0,83.8,79,830.91,16.5,49.4,34.2,83.5,81,828.63,24.7,42.0,33.3,75.3,81,820.83,22.2,55.6,22.2,77.8,11,11th
6080377,BARTOW COUNTY,HAMILTON CROS,95,848.36,6.3,40.0,53.7,93.7,95,840.37,6.3,52.6,41.1,93.7,93,855.91,4.3,34.4,61.3,95.7,99,831.99,15.2,46.5,38.4,84.8,98,821.67,15.3,73.5,11.2,84.7,11,11th
6080396,BARTOW COUNTY,TAYLORSVILLE,79,847.99,8.9,34.2,57.0,91.1,77,852.52,6.5,44.2,49.4,93.5,77,861.60,5.2,20.8,74.0,94.8,79,857.67,7.6,31.6,60.8,92.4,79,836.09,10.1,57.0,32.9,89.9,11,11th
6081052,BARTOW COUNTY,CLOVERLEAF EL,102,841.39,4.9,54.9,40.2,95.1,102,845.87,6.9,46.1,47.1,93.1,102,837.28,13.7,46.1,40.2,86.3,102,821.87,25.5,50.0,24.5,74.5,102,813.23,24.5,71.6,3.9,75.5,11,11th
6082052,BARTOW COUNTY,EMERSON ELEME,67,822.75,19.4,59.7,20.9,80.6,67,824.37,22.4,56.7,20.9,77.6,66,829.29,18.2,47.0,34.8,81.8,67,814.40,32.8,49.3,17.9,67.2,67,807.75,31.3,64.2,4.5,68.7,11,11th
6090111,BEN HILL COUNTY,BEN HILL ELEM,244,831.03,10.7,62.7,26.6,89.3,243,831.70,12.3,63.4,24.3,87.7,242,828.96,16.1,56.6,27.3,83.9,250,831.82,21.6,41.2,37.2,78.4,250,827.43,18.8,55.6,25.6,81.2,3,8th
6100195,BERRIEN COUNTY,BERRIEN ELEME,255,841.15,3.5,54.9,41.6,96.5,255,835.49,5.9,62.7,31.4,94.1,254,838.03,11.0,51.6,37.4,89.0,254,841.12,11.8,47.6,40.6,88.2,254,821.39,15.4,72.0,12.6,84.6,3,1st
6110103,BIBB COUNTY,SKYVIEW ELEME,106,838.34,7.5,50.9,41.5,92.5,105,838.50,6.7,61.0,32.4,93.3,102,823.88,17.6,65.7,16.7,82.4,106,837.06,17.0,47.2,35.8,83.0,106,822.44,17.9,66.0,16.0,82.1,8,8th
6110104,BIBB COUNTY,BURDELL ELEME,75,816.25,32.0,53.3,14.7,68.0,74,821.64,16.2,71.6,12.2,83.8,75,801.43,52.0,37.3,10.7,48.0,78,805.69,50.0,39.7,10.3,50.0,78,803.53,44.9,47.4,7.7,55.1,8,8th
6110109,BIBB COUNTY,BRUCE ELEMENT,72,807.36,30.6,65.3,4.2,69.4,72,808.00,33.3,65.3,1.4,66.7,72,811.93,36.1,51.4,12.5,63.9,74,793.43,59.5,36.5,4.1,40.5,74,791.36,67.6,32.4,0.0,32.4,8,8th
6110203,BIBB COUNTY,VINEVILLE ACA,75,831.32,14.7,57.3,28.0,85.3,74,836.91,6.8,56.8,36.5,93.2,74,825.01,16.2,58.1,25.7,83.8,75,832.36,21.3,49.3,29.3,78.7,75,820.44,17.3,69.3,13.3,82.7,8,8th
6110307,BIBB COUNTY,PRICE EDUCATI,3,      --,      --,      --,      --,      --,3,      --,      --,      --,      --,      --,3,      --,      --,      --,      --,      --,3,      --,      --,      --,      --,      --,3,      --,      --,      --,      --,      --,8,8th
6110383,BIBB COUNTY,WILLIAMS ELEM,47,801.94,57.4,34.0,8.5,42.6,47,808.23,40.4,51.1,8.5,59.6,47,795.70,53.2,40.4,6.4,46.8,48,781.56,75.0,20.8,4.2,25.0,48,786.67,77.1,20.8,2.1,22.9,8,8th
6110405,BIBB COUNTY,ROSA TAYLOR E,81,830.77,17.3,53.1,29.6,82.7,83,826.48,18.1,57.8,24.1,81.9,81,821.44,25.9,53.1,21.0,74.1,83,829.75,27.7,37.3,34.9,72.3,83,822.12,27.7,54.2,18.1,72.3,8,8th
6110605,BIBB COUNTY,HERITAGE ELEM,129,828.37,14.7,55.0,30.2,85.3,129,828.88,17.1,58.1,24.8,82.9,130,827.54,11.5,56.9,31.5,88.5,131,822.41,26.7,43.5,29.8,73.3,130,811.81,29.2,66.2,4.6,70.8,8,8th
6110705,BIBB COUNTY,UNION ELEMENT,94,809.18,30.9,63.8,5.3,69.1,93,812.01,33.3,60.2,6.5,66.7,96,804.89,42.7,43.8,13.5,57.3,98,793.41,57.1,35.7,7.1,42.9,98,792.99,58.2,38.8,3.1,41.8,8,8th
6110805,BIBB COUNTY,RILEY ELEMENT,57,815.05,26.3,57.9,15.8,73.7,56,817.82,30.4,53.6,16.1,69.6,56,811.13,41.1,46.4,12.5,58.9,60,803.38,50.0,36.7,13.3,50.0,60,805.98,35.0,60.0,5.0,65.0,8,8th
6110905,BIBB COUNTY,MORGAN ELEMEN,74,819.04,27.0,48.6,24.3,73.0,73,821.89,24.7,54.8,20.5,75.3,73,817.78,24.7,53.4,21.9,75.3,76,807.68,46.1,39.5,14.5,53.9,76,803.71,44.7,51.3,3.9,55.3,8,8th
6111005,BIBB COUNTY,BROOKDALE ELE,71,815.31,32.4,60.6,7.0,67.6,71,816.69,21.1,70.4,8.5,78.9,71,804.89,46.5,43.7,9.9,53.5,73,801.93,49.3,37.0,13.7,50.7,72,798.90,45.8,51.4,2.8,54.2,8,8th
