Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA code,Congressional District
6010177,APPLING COUNTY,APPLING CO EL,179,826.22,8.9,72.1,19.0,91.1,177,836.68,4.5,67.2,28.2,95.5,177,842.71,6.2,48.6,45.2,93.8,184,821.47,23.4,53.3,23.4,76.6,183,818.04,25.1,61.2,13.7,74.9,4,1st
6011050,APPLING COUNTY,ALTAMAHA ELEM,50,834.60,8.0,60.0,32.0,92.0,50,841.46,2.0,62.0,36.0,98.0,50,839.42,8.0,54.0,38.0,92.0,51,833.86,13.7,47.1,39.2,86.3,51,820.27,23.5,60.8,15.7,76.5,4,1st
6015050,APPLING COUNTY,FOURTH DISTRI,16,842.00,0.0,50.0,50.0,100.0,16,845.13,6.3,50.0,43.8,93.8,16,853.94,0.0,37.5,62.5,100.0,16,830.69,18.8,37.5,43.8,81.3,16,820.75,12.5,81.3,6.3,87.5,4,1st
6020187,ATKINSON COUNTY,WILLACOOCHEE,34,829.24,2.9,76.5,20.6,97.1,34,838.32,0.0,70.6,29.4,100.0,32,844.94,6.3,43.8,50.0,93.8,34,823.97,29.4,35.3,35.3,70.6,34,831.62,17.6,52.9,29.4,82.4,13,1st
6020190,ATKINSON COUNTY,PEARSON ELEME,87,829.13,8.0,67.8,24.1,92.0,88,835.67,10.2,59.1,30.7,89.8,88,845.07,13.6,36.4,50.0,86.4,90,826.96,26.7,40.0,33.3,73.3,90,827.71,14.4,62.2,23.3,85.6,13,1st
6033050,BACON COUNTY,BACON CO ELEM,154,829.66,8.4,68.8,22.7,91.6,154,832.85,5.8,69.5,24.7,94.2,151,839.52,6.0,57.6,36.4,94.0,160,839.19,16.3,45.0,38.8,83.8,160,828.08,16.3,58.1,25.6,83.8,13,1st
6040105,BAKER COUNTY,BAKER COUNTY,22,815.18,27.3,59.1,13.6,72.7,22,820.91,31.8,40.9,27.3,68.2,21,819.71,33.3,42.9,23.8,66.7,22,798.55,50.0,40.9,9.1,50.0,22,799.77,54.5,45.5,0.0,45.5,15,2nd
6050104,BALDWIN COUNTY,EAGLE RIDGE E,112,826.71,15.2,61.6,23.2,84.8,111,835.48,9.9,57.7,32.4,90.1,111,842.49,14.4,41.4,44.1,85.6,113,824.21,26.5,43.4,30.1,73.5,113,814.68,37.2,45.1,17.7,62.8,12,12th
6050194,BALDWIN COUNTY,MIDWAY ELEMEN,74,820.11,13.5,77.0,9.5,86.5,73,830.00,4.1,74.0,21.9,95.9,70,819.74,25.7,50.0,24.3,74.3,76,815.17,36.8,42.1,21.1,63.2,76,807.93,38.2,56.6,5.3,61.8,12,12th
6050195,BALDWIN COUNTY,BLANDY HILLS,109,827.24,6.4,71.6,22.0,93.6,108,832.90,5.6,70.4,24.1,94.4,106,821.63,20.8,60.4,18.9,79.2,114,817.01,28.1,49.1,22.8,71.9,114,809.23,43.0,43.9,13.2,57.0,12,12th
6050199,BALDWIN COUNTY,CREEKSIDE ELE,112,830.02,10.7,59.8,29.5,89.3,109,834.32,4.6,69.7,25.7,95.4,107,828.18,11.2,67.3,21.5,88.8,118,834.55,22.9,34.7,42.4,77.1,118,831.45,19.5,43.2,37.3,80.5,12,12th
6060107,BANKS COUNTY,BANKS CO ELEM,228,835.95,4.8,60.5,34.6,95.2,225,846.29,3.1,54.7,42.2,96.9,221,850.55,6.8,42.1,51.1,93.2,236,834.75,17.4,44.1,38.6,82.6,236,821.46,23.7,54.7,21.6,76.3,14,10th
6070105,BARROW COUNTY,COUNTY LINE E,147,835.35,6.1,56.5,37.4,93.9,148,837.02,6.8,58.8,34.5,93.2,147,843.35,10.2,42.9,46.9,89.8,153,832.69,17.6,43.8,38.6,82.4,153,819.42,23.5,59.5,17.0,76.5,10,7th
6070189,BARROW COUNTY,KENNEDY ELEME,76,830.70,9.2,60.5,30.3,90.8,76,842.54,3.9,52.6,43.4,96.1,79,863.51,5.1,25.3,69.6,94.9,79,823.04,21.5,51.9,26.6,78.5,78,824.18,24.4,55.1,20.5,75.6,10,7th
6070193,BARROW COUNTY,BRAMLETT ELEM,105,830.30,7.6,63.8,28.6,92.4,104,837.04,2.9,68.3,28.8,97.1,102,838.51,9.8,52.0,38.2,90.2,107,838.68,15.0,48.6,36.4,85.0,105,821.37,23.8,58.1,18.1,76.2,10,7th
6070205,BARROW COUNTY,BETHLEHEM ELE,152,829.75,5.9,68.4,25.7,94.1,152,835.12,5.9,65.1,28.9,94.1,149,831.96,12.8,54.4,32.9,87.2,153,819.78,26.1,48.4,25.5,73.9,152,816.30,28.3,56.6,15.1,71.7,10,7th
