Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6010195,APPLING COUNTY,APPLING CO MI,264,837.00,7.2,52.3,40.5,92.8,264,833.14,4.9,69.3,25.8,95.1,264,818.56,21.2,70.1,8.7,78.8,264,820.16,21.2,62.9,15.9,78.8,264,809.25,47.3,36.0,16.7,52.7
6020187,ATKINSON COUNTY,WILLACOOCHEE,33,834.39,9.1,60.6,30.3,90.9,33,831.45,6.1,75.8,18.2,93.9,33,821.15,24.2,66.7,9.1,75.8,33,808.61,39.4,54.5,6.1,60.6,33,791.76,69.7,24.2,6.1,30.3
6020190,ATKINSON COUNTY,PEARSON ELEME,91,835.84,5.5,56.0,38.5,94.5,91,829.69,5.5,73.6,20.9,94.5,92,818.40,21.7,60.9,17.4,78.3,92,807.88,38.0,54.3,7.6,62.0,91,810.36,39.6,46.2,14.3,60.4
6030202,BACON COUNTY,BACON CO MIDD,152,824.91,12.5,65.8,21.7,87.5,152,825.11,14.5,69.1,16.4,85.5,152,809.64,34.2,59.2,6.6,65.8,152,809.56,36.8,57.9,5.3,63.2,152,825.38,32.2,35.5,32.2,67.8
6040105,BAKER COUNTY,BAKER COUNTY,30,823.83,10.0,73.3,16.7,90.0,30,819.83,20.0,70.0,10.0,80.0,30,802.13,40.0,60.0,0.0,60.0,30,801.30,43.3,53.3,3.3,56.7,30,793.33,70.0,23.3,6.7,30.0
6050100,BALDWIN COUNTY,OAK HILL MS,376,827.26,10.1,66.2,23.7,89.9,376,827.62,8.5,75.3,16.2,91.5,377,811.46,34.2,55.4,10.3,65.8,377,810.94,38.7,50.4,10.9,61.3,374,806.10,49.7,35.8,14.4,50.3
6060105,BANKS COUNTY,BANKS CO MIDD,195,838.30,4.6,56.4,39.0,95.4,196,843.41,4.6,50.0,45.4,95.4,196,827.63,12.2,63.3,24.5,87.8,196,834.12,8.7,59.7,31.6,91.3,196,840.24,14.3,45.9,39.8,85.7
6070106,BARROW COUNTY,HAYMON MORRIS,274,837.24,4.4,60.6,35.0,95.6,274,835.82,4.4,66.4,29.2,95.6,274,823.91,14.2,68.6,17.2,85.8,274,825.50,16.1,63.1,20.8,83.9,273,822.35,30.4,45.1,24.5,69.6
6070198,BARROW COUNTY,WESTSIDE MIDD,178,834.99,9.6,55.1,35.4,90.4,178,836.20,6.7,60.1,33.1,93.3,178,826.11,18.0,61.2,20.8,82.0,178,827.04,20.8,54.5,24.7,79.2,178,833.20,23.6,40.4,36.0,76.4
6070289,BARROW COUNTY,RUSSELL MIDDL,240,832.69,7.5,61.3,31.3,92.5,240,832.61,5.8,70.0,24.2,94.2,240,818.93,20.4,65.4,14.2,79.6,240,824.86,19.2,62.5,18.3,80.8,240,834.08,23.8,38.8,37.5,76.3
6072052,BARROW COUNTY,WINDER BARROW,255,832.87,7.1,63.1,29.8,92.9,255,826.99,8.6,74.1,17.3,91.4,255,815.62,25.9,62.4,11.8,74.1,255,818.27,24.3,61.2,14.5,75.7,255,841.30,20.8,34.5,44.7,79.2
6080101,BARTOW COUNTY,WOODLAND MIDD,325,830.90,13.2,55.4,31.4,86.8,325,831.82,9.8,64.3,25.8,90.2,325,820.73,21.2,62.8,16.0,78.8,325,817.93,29.5,51.7,18.8,70.5,325,830.49,32.0,34.8,33.2,68.0
6080190,BARTOW COUNTY,SOUTH CENTRAL,216,830.26,11.1,58.8,30.1,88.9,216,827.01,12.0,73.6,14.4,88.0,216,813.79,31.5,58.8,9.7,68.5,216,815.10,29.6,58.8,11.6,70.4,214,808.93,43.9,40.7,15.4,56.1
6080195,BARTOW COUNTY,CASS MIDDLE S,349,832.71,8.9,61.6,29.5,91.1,347,829.11,9.5,69.7,20.7,90.5,349,825.52,17.8,59.3,22.9,82.2,348,821.24,23.9,59.8,16.4,76.1,348,820.34,33.6,42.2,24.1,66.4
6080301,BARTOW COUNTY,ADAIRSVILLE M,232,830.85,13.8,54.3,31.9,86.2,232,826.42,12.9,71.6,15.5,87.1,232,817.84,30.2,57.8,12.1,69.8,232,819.87,23.3,59.5,17.2,76.7,231,814.48,36.8,45.0,18.2,63.2
6090296,BEN HILL COUNTY,BEN HILL CO M,214,822.56,15.9,64.0,20.1,84.1,214,823.56,16.8,68.2,15.0,83.2,214,808.81,38.3,53.3,8.4,61.7,209,803.69,42.6,54.1,3.3,57.4,212,807.18,45.8,37.7,16.5,54.2
6100194,BERRIEN COUNTY,BERRIEN MIDDL,238,835.11,9.2,56.3,34.5,90.8,238,829.43,9.2,67.6,23.1,90.8,238,812.54,34.0,55.0,10.9,66.0,238,821.36,26.5,51.7,21.8,73.5,237,801.48,55.3,31.2,13.5,44.7
6110107,BIBB COUNTY,BLOOMFIELD MI,186,816.14,20.4,71.0,8.6,79.6,184,819.21,17.9,75.5,6.5,82.1,185,796.72,60.5,37.8,1.6,39.5,183,788.68,71.6,27.9,0.5,28.4,182,790.41,66.5,29.1,4.4,33.5
6110108,BIBB COUNTY,BALLARD HUDSO,175,814.76,22.9,68.0,9.1,77.1,175,815.05,20.6,76.6,2.9,79.4,175,798.17,55.4,42.9,1.7,44.6,174,785.80,80.5,19.5,0.0,19.5,174,789.13,63.2,33.9,2.9,36.8
6110205,BIBB COUNTY,HOWARD MIDDLE,324,831.52,9.9,59.0,31.2,90.1,325,832.93,9.5,64.0,26.5,90.5,325,819.85,26.5,55.7,17.8,73.5,325,810.04,35.4,55.7,8.9,64.6,322,815.00,45.3,29.5,25.2,54.7
6110298,BIBB COUNTY,MILLER MAGNET,308,825.28,13.6,66.9,19.5,86.4,307,825.13,12.4,74.6,13.0,87.6,305,810.07,34.8,57.4,7.9,65.2,302,800.01,56.0,39.4,4.6,44.0,302,808.64,48.7,34.8,16.6,51.3
6110305,BIBB COUNTY,RUTLAND MIDDL,365,823.71,15.3,63.8,20.8,84.7,363,821.85,13.2,77.4,9.4,86.8,367,809.17,34.9,59.9,5.2,65.1,364,799.16,52.7,45.9,1.4,47.3,362,809.13,40.3,48.6,11.0,59.7
6110307,BIBB COUNTY,PRICE EDUCATI,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--
6110407,BIBB COUNTY,MACON HEALTH,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--
6110505,BIBB COUNTY,WEAVER MIDDLE,269,818.06,23.4,63.2,13.4,76.6,269,818.41,18.6,73.2,8.2,81.4,269,803.41,47.2,48.7,4.1,52.8,270,798.17,56.3,41.1,2.6,43.7,268,783.05,70.9,28.0,1.1,29.1
