,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA code,Congressional District,
6010109,APPLING COUNTY,BAXLEY WILDER,1,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,4,1st,
6010195,APPLING COUNTY,APPLING CO MI,261,830.20,8.4,68.2,23.4,91.6,260,843.73,4.6,47.3,48.1,95.4,260,839.51,10.4,51.9,37.7,89.6,265,842.37,12.8,42.3,44.9,87.2,264,820.18,33.3,42.0,24.6,66.7,4,1st,
6020111,ATKINSON COUNTY,ATKINSON COUN,120,826.58,7.5,77.5,15.0,92.5,120,839.03,6.7,57.5,35.8,93.3,119,831.05,7.6,69.7,22.7,92.4,121,822.47,21.5,64.5,14.0,78.5,121,833.89,21.5,36.4,42.1,78.5,13,1st,
6030202,BACON COUNTY,BACON CO MIDD,142,823.82,11.3,79.6,9.2,88.7,142,836.34,7.0,57.0,35.9,93.0,142,838.31,8.5,53.5,38.0,91.5,145,832.14,17.9,51.7,30.3,82.1,145,831.26,29.7,31.0,39.3,70.3,13,1st,
6040105,BAKER COUNTY,BAKER COUNTY,28,818.00,14.3,78.6,7.1,85.7,29,827.55,17.2,58.6,24.1,82.8,28,820.21,10.7,75.0,14.3,89.3,29,816.03,31.0,55.2,13.8,69.0,29,787.93,75.9,20.7,3.4,24.1,15,2nd,
6050100,BALDWIN COUNTY,OAK HILL MS,375,820.17,14.9,73.1,12.0,85.1,376,833.51,7.7,62.2,30.1,92.3,367,830.40,9.8,64.9,25.3,90.2,384,827.58,24.0,47.4,28.6,76.0,382,817.86,36.9,38.2,24.9,63.1,12,12th,
6060105,BANKS COUNTY,BANKS CO MIDD,189,831.60,7.4,72.0,20.6,92.6,186,846.98,6.5,45.2,48.4,93.5,186,843.39,4.3,57.0,38.7,95.7,191,856.39,5.8,36.6,57.6,94.2,191,868.69,8.4,25.7,66.0,91.6,14,10th,
6070106,BARROW COUNTY,HAYMON MORRIS,278,831.32,5.4,72.3,22.3,94.6,277,843.15,2.9,58.5,38.6,97.1,275,836.94,5.1,65.5,29.5,94.9,278,843.77,11.2,46.0,42.8,88.8,279,841.15,25.4,33.0,41.6,74.6,10,7th,
6070198,BARROW COUNTY,WESTSIDE MIDD,163,833.85,2.5,72.4,25.2,97.5,161,843.02,4.3,51.6,44.1,95.7,160,848.89,1.3,54.4,44.4,98.8,165,841.62,9.7,50.3,40.0,90.3,166,851.00,12.7,34.3,53.0,87.3,10,7th,
6070289,BARROW COUNTY,RUSSELL MIDDL,229,826.86,7.4,75.5,17.0,92.6,230,834.99,8.7,58.3,33.0,91.3,231,834.82,6.9,66.2,26.8,93.1,235,837.70,15.7,46.8,37.4,84.3,236,833.88,21.6,35.6,42.8,78.4,10,7th,
6072052,BARROW COUNTY,WINDER BARROW,255,828.12,7.8,71.4,20.8,92.2,253,836.75,7.1,60.1,32.8,92.9,251,835.10,10.0,58.2,31.9,90.0,257,833.05,16.3,51.8,31.9,83.7,252,838.69,20.2,37.3,42.5,79.8,10,7th,
6080101,BARTOW COUNTY,WOODLAND MIDD,304,829.99,8.2,69.7,22.0,91.8,306,843.65,5.6,51.3,43.1,94.4,306,832.87,14.4,55.2,30.4,85.6,314,834.86,17.5,47.5,35.0,82.5,314,832.10,26.8,35.7,37.6,73.2,11,11th,
6080190,BARTOW COUNTY,SOUTH CENTRAL,199,827.60,9.0,68.3,22.6,91.0,199,835.36,6.5,58.3,35.2,93.5,198,838.26,6.1,58.6,35.4,93.9,200,839.12,12.0,50.5,37.5,88.0,200,847.18,14.5,36.5,49.0,85.5,11,11th,
6080195,BARTOW COUNTY,CASS MIDDLE S,351,829.03,8.5,71.2,20.2,91.5,351,834.68,5.7,63.0,31.3,94.3,350,839.51,11.1,51.1,37.7,88.9,352,831.20,19.9,51.7,28.4,80.1,352,838.00,20.5,37.5,42.0,79.5,11,11th,
