Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2013 Data Report
 
System ID, System Name,School ID - School Name,KK-12 % FRL
601,Appling County, 0277 - Appling County Primary School,83.42
601,Appling County, 5050 - Fourth District Elementary School,63.93
601,Appling County, 0177 - Appling County Elementary School,78.61
601,Appling County, 0103 - Appling County High School,59.04
601,Appling County, 0109 - Baxley Wilderness Institute,*
601,Appling County, 0195 - Appling County Middle School,72.33
601,Appling County, 1050 - Altamaha Elementary School,55.25
602,Atkinson County, 0190 - Pearson Elementary School,85.93
602,Atkinson County, 0111 - Atkinson County Middle School,85.87
602,Atkinson County, 0103 - Atkinson County High School,80.13
602,Atkinson County, 0187 - Willacoochee Elementary School,89.95
761,Atlanta Public Schools, 5067 - Thomasville Heights Elementary School,*
761,Atlanta Public Schools, 1066 - E. Rivers Elementary School,41.64
761,Atlanta Public Schools, 3569 - Whitefoord Elementary School,*
761,Atlanta Public Schools, 0605 - KIPP WAYS Academy Charter School,83.49
761,Atlanta Public Schools, 0408 - South Atlanta School of Computer Animation and Design,87.18
761,Atlanta Public Schools, 1563 - David T Howard Middle School,36.74
761,Atlanta Public Schools, 3067 - Willis A. Sutton Middle School,43.02
761,Atlanta Public Schools, 0206 - Atlanta Neighborhood Charter - Middle,39.47
761,Atlanta Public Schools, 1408 - The Best Academy at Benjamin S. Carson,89.11
761,Atlanta Public Schools, 0506 - The School of the Arts at Carver,92.15
761,Atlanta Public Schools, 0313 - Latin Academy Charter School,93.48
761,Atlanta Public Schools, 0121 - Old Coretta Scott King Young Women's Academy High School,82.61
761,Atlanta Public Schools, 5051 - Benteen Elementary School,*
761,Atlanta Public Schools, 0305 - Burgess-Peterson Elementary School,84.62
761,Atlanta Public Schools, 4058 - Frederick Douglass High School,89.29
761,Atlanta Public Schools, 2564 - Mary Lin Elementary School,12.54
761,Atlanta Public Schools, 0115 - Kipp Strive Charter School,71.59
761,Atlanta Public Schools, 1064 - L. O. Kimberly Elementary School,*
761,Atlanta Public Schools, 0112 - Booker T. Washington High School - Banking  Finance and Investment Small Sc,89.62
761,Atlanta Public Schools, 2664 - Crim High School,*
761,Atlanta Public Schools, 2568 - Venetian Hills Elementary School,*
761,Atlanta Public Schools, 1052 - Bethune Elementary School,*
761,Atlanta Public Schools, 0104 - John Wesley Dobbs Elementary School,94.75
761,Atlanta Public Schools, 1053 - William M.Boyd Elementary School,*
761,Atlanta Public Schools, 2053 - Morris Brandon Elementary School,10.79
761,Atlanta Public Schools, 0713 - Grove Park Intermediate School,*
761,Atlanta Public Schools, 0288 - Judson Price Middle School,*
