System ID, System Name,School ID - School Name,KK-12 % FRL
601,Appling County, 0277 - Appling County Primary School,93.66
601,Appling County, 0195 - Appling County Middle School,73.15
601,Appling County, 0177 - Appling County Elementary School,87.45
601,Appling County, 5050 - Fourth District Elementary School,83.82
601,Appling County, 1050 - Altamaha Elementary School,72.17
601,Appling County, 0103 - Appling County High School,72.24
602,Atkinson County, 0187 - Willacoochee Elementary School,90.65
602,Atkinson County, 0103 - Atkinson County High School,80.22
602,Atkinson County, 0111 - Atkinson County Middle School,85.86
602,Atkinson County, 0190 - Pearson Elementary School,85.99
761,Atlanta Public Schools, 5566 - F. L. Stanton Elementary School,*
761,Atlanta Public Schools, 5567 - Fred A. Toomer Elementary School,77.49
761,Atlanta Public Schools, 0605 - KIPP WAYS Academy Charter School,*
761,Atlanta Public Schools, 3057 - Continental Colony Elementary School,*
761,Atlanta Public Schools, 3059 - Fain Elementary School,*
761,Atlanta Public Schools, 3065 - Peyton Forest Elementary School,*
761,Atlanta Public Schools, 3067 - Willis A. Sutton Middle School,41.17
761,Atlanta Public Schools, 0192 - North Atlanta High School,40.66
761,Atlanta Public Schools, 0196 - Cascade Elementary School,*
761,Atlanta Public Schools, 0199 - Centennial Place Academy (Charter),75.2
761,Atlanta Public Schools, 0201 - Charles R. Drew Charter School,59.48
761,Atlanta Public Schools, 0206 - Atlanta Neighborhood Charter - Middle,29.06
761,Atlanta Public Schools, 0207 - Hillside Conant School,69.33
761,Atlanta Public Schools, 0296 - T. J. Perkerson Elementary School,*
761,Atlanta Public Schools, 0303 - Bolton Academy Elementary ,67.2
761,Atlanta Public Schools, 0282 - Jean Childs Young Middle School,*
761,Atlanta Public Schools, 0288 - Judson Price Middle School,*
761,Atlanta Public Schools, 3559 - R. N. Fickett Elementary School,*
761,Atlanta Public Schools, 4058 - Frederick Douglass High School,*
761,Atlanta Public Schools, 4063 - M. A. Jones Elementary School,*
761,Atlanta Public Schools, 4066 - Thomas Heathe Slater Elementary School,*
761,Atlanta Public Schools, 4560 - Midtown High School,42.86
761,Atlanta Public Schools, 3566 - William J. Scott Elementary School,*
761,Atlanta Public Schools, 3569 - Whitefoord Elementary School,*
761,Atlanta Public Schools, 4056 - Cleveland Avenue Elementary School,*
761,Atlanta Public Schools, 0116 - Springdale Park Elementary School,15.7
761,Atlanta Public Schools, 0112 - Booker T. Washington High School - Banking  Finance and Investment Small Sc,*
761,Atlanta Public Schools, 0114 - Booker T. Washington High School - Health  Sciences and Nutrition Small Sch,*
761,Atlanta Public Schools, 0708 - Therrell School of Health and Science - C,*
761,Atlanta Public Schools, 0413 - Adamsville Primary School,*
761,Atlanta Public Schools, 0120 - Coretta Scott King Young Women's Academy Middle School - C,*
761,Atlanta Public Schools, 0213 - KIPP Strive Primary Charter School,*
761,Atlanta Public Schools, 0121 - Old Coretta Scott King Young Women's Academy High School,*
761,Atlanta Public Schools, 0122 - KIPP VISION Charter School,*
761,Atlanta Public Schools, 0123 - The Kindezi School,70.53
761,Atlanta Public Schools, 0124 - Intown Charter Academy,*
761,Atlanta Public Schools, 0313 - Latin Academy Charter School,*
761,Atlanta Public Schools, 0513 - Miles Elementary School,*
761,Atlanta Public Schools, 0613 - Woodson Primary School,*
761,Atlanta Public Schools, 0713 - Grove Park Intermediate School,*
761,Atlanta Public Schools, 0115 - Kipp Strive Charter School,66.48
761,Atlanta Public Schools, 0113 - Booker T. Washington - Early College Small School,*
761,Atlanta Public Schools, 0214 - KIPP Vision Primary Charter School,83.49
761,Atlanta Public Schools, 0314 - Westside Atlanta Charter School,45.9
761,Atlanta Public Schools, 0118 - The Best Academy High School at Benjamin S. Carson,*
761,Atlanta Public Schools, 1208 - Wesley International Academy Charter,45.48
761,Atlanta Public Schools, 0408 - South Atlanta School of Computer Animation and Design,*
761,Atlanta Public Schools, 0608 - Therrell School of Engineering  Math  and Science - C,*
761,Atlanta Public Schools, 0508 - Therrell School of Law  Government and Public Policy - C,*
761,Atlanta Public Schools, 5066 - Barack and Michelle Obama Academy,*
761,Atlanta Public Schools, 5067 - Thomasville Heights Elementary School,*
761,Atlanta Public Schools, 5558 - Paul L. Dunbar Elementary School,*
761,Atlanta Public Schools, 5562 - Joseph Humphries Elementary School,*
761,Atlanta Public Schools, 5563 - Kennedy Middle School,*
761,Atlanta Public Schools, 0212 - Kipp Atlanta Collegiate Charter School,*
761,Atlanta Public Schools, 0208 - South Atlanta Law and Social Justice School,*
761,Atlanta Public Schools, 1408 - The Best Academy at Benjamin S. Carson,*
761,Atlanta Public Schools, 5051 - Benteen Elementary School,*
761,Atlanta Public Schools, 5056 - Coan Middle School,*
761,Atlanta Public Schools, 1052 - Bethune Elementary School,*
761,Atlanta Public Schools, 1053 - William M.Boyd Elementary School,*
761,Atlanta Public Schools, 1063 - Emma Hutchinson Elementary School,*
761,Atlanta Public Schools, 1064 - L. O. Kimberly Elementary School,*
761,Atlanta Public Schools, 1066 - E. Rivers Elementary School,40.75
761,Atlanta Public Schools, 0100 - Herman J. Russell West End Academy,*
761,Atlanta Public Schools, 0101 - Parkside Elementary School,79.27
761,Atlanta Public Schools, 0103 - Heritage Academy Elementary School,*
761,Atlanta Public Schools, 1664 - Morningside Elementary School,7.9
761,Atlanta Public Schools, 2053 - Morris Brandon Elementary School,10.24
761,Atlanta Public Schools, 2057 - Connally Elementary School,*
761,Atlanta Public Schools, 1068 - Towns Elementary School,*
761,Atlanta Public Schools, 1560 - Garden Hills Elementary School,76.1
761,Atlanta Public Schools, 1563 - David T Howard Middle School,38.63
761,Atlanta Public Schools, 1567 - Sara Rawson Smith Elementary School,20.21
761,Atlanta Public Schools, 0104 - John Wesley Dobbs Elementary School,*
761,Atlanta Public Schools, 0105 - Finch Elementary,*
761,Atlanta Public Schools, 0106 - Carver High School Early College,*
761,Atlanta Public Schools, 0173 - Crawford Long Middle School,*
