norm_name_stu,System name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,grade,N tested Reading,N tested ELA,N tested Math,N tested Science,Science: % Does not meet standard,N tested Social Studies,Social Studies: % Does not meet the standard,norm_name_aps,best_match,es.giftedEligibility,activeEnrollment.eip,activeEnrollment.specialEdStatus,posElig.eligibility,gifted_flag,lunch_flag
parkside,ATLANTA PUBLIC SCHOO,104.0,823.68,24.0,51.9,24.0,76.0,104.0,824.58,24.0,51.9,24.0,76.0,104.0,818.81,33.7,46.2,20.2,66.3,104.0,824.83,28.8,40.4,30.8,71.2,104.0,821.71,26.9,50.0,23.1,73.1,3,,,,,,,,parkside,parkside,9,N,N,F,0,1
heritage,ATLANTA PUBLIC SCHOO,96.0,820.97,17.7,67.7,14.6,82.3,96.0,824.26,18.8,59.4,21.9,81.3,96.0,810.53,39.6,41.7,18.8,60.4,96.0,808.16,37.5,53.1,9.4,62.5,96.0,810.78,34.4,59.4,6.3,65.6,3,,,,,,,,heritage acad,heritage,9,N,N,F,0,1
springdale park,ATLANTA PUBLIC SCHOO,60.0,856.63,1.7,30.0,68.3,98.3,59.0,859.2,0.0,28.8,71.2,100.0,61.0,872.75,4.9,19.7,75.4,95.1,61.0,856.51,3.3,27.9,68.9,96.7,60.0,860.87,1.7,28.3,70.0,98.3,3,,,,,,,,springdale pa,springdale park,9,N,N,S,0,0
atlanta preparatory,ATLANTA PUBLIC SCHOO,43.0,817.35,25.6,60.5,14.0,74.4,43.0,817.16,30.2,55.8,14.0,69.8,43.0,798.77,48.8,37.2,14.0,51.2,43.0,806.35,39.5,51.2,9.3,60.5,43.0,803.0,39.5,55.8,4.7,60.5,3,,,,,,,,atlanta prepa,atlanta preparatory,9,N,N,F,0,1
cascade,ATLANTA PUBLIC SCHOO,77.0,821.53,18.2,63.6,18.2,81.8,77.0,824.48,18.2,64.9,16.9,81.8,77.0,813.19,31.2,55.8,13.0,68.8,77.0,811.17,33.8,57.1,9.1,66.2,77.0,815.42,26.0,62.3,11.7,74.0,3,,,,,,,,cascade eleme,cascade,9,N,N,F,0,1
centennial place,ATLANTA PUBLIC SCHOO,78.0,831.74,16.7,52.6,30.8,83.3,78.0,833.76,12.8,55.1,32.1,87.2,78.0,827.01,21.8,55.1,23.1,78.2,79.0,827.86,21.5,53.2,25.3,78.5,79.0,825.7,19.0,57.0,24.1,81.0,3,,,,,,,,centennial pl,centennial place,9,N,N,F,0,1
charles r drew charter,ATLANTA PUBLIC SCHOO,83.0,832.2,7.2,62.7,30.1,92.8,83.0,837.86,6.0,56.6,37.3,94.0,83.0,829.22,15.7,55.4,28.9,84.3,83.0,830.92,10.8,63.9,25.3,89.2,83.0,828.33,12.0,65.1,22.9,88.0,3,,,,,,,,charles r dre,charles r drew charter,9,N,N,F,0,1
hillside,ATLANTA PUBLIC SCHOO,5.0,,,,,,6.0,,,,,,6.0,,,,,,6.0,,,,,,6.0,,,,,,3,,,,,,,,hillside cona,hillside,9,N,Y,S,0,0
perkerson,ATLANTA PUBLIC SCHOO,58.0,813.67,29.3,62.1,8.6,70.7,58.0,811.55,37.9,50.0,12.1,62.1,58.0,800.74,53.4,34.5,12.1,46.6,58.0,800.9,48.3,43.1,8.6,51.7,58.0,800.91,41.4,53.4,5.2,58.6,3,,,,,,,,perkerson ele,perkerson,9,N,N,F,0,1
bolton,ATLANTA PUBLIC SCHOO,61.0,828.08,11.5,67.2,21.3,88.5,61.0,825.03,23.0,50.8,26.2,77.0,62.0,815.79,35.5,41.9,22.6,64.5,62.0,815.6,32.3,53.2,14.5,67.7,60.0,815.82,26.7,60.0,13.3,73.3,3,,,,,,,,bolton academ,bolton,9,N,N,F,0,1
